EventID,DateTime,Evla,Evlo,Depth,Mag
93,19930101163135,38.96666666666667,142.5,0.42,1.1
94,19930101163201,38.93483333333333,142.45033333333333,0.37,1.5
95,19930101163444,24.48483333333333,122.5,7.16,2.2
96,19930101163812,43.01716666666667,146.83383333333333,0.0,3.3000000000000003
97,19930101164551,35.65033333333333,140.13433333333333,0.84,1.0
98,19930101170840,42.58450000000001,144.80133333333333,4.42,3.2
99,19930101171941,38.884,142.56766666666667,2.8000000000000003,4.6000000000000005
100,19930101175854,35.9,140.48399999999998,3.77,1.2000000000000002
101,19930101184059,38.90083333333333,142.58350000000004,2.12,2.3000000000000003
102,19930101184428,41.6175,143.50083333333333,0.38,2.8000000000000003
103,19930101184701,38.93433333333333,142.51683333333338,2.24,2.1
104,19930101185035,38.884166666666665,142.53366666666668,0.35000000000000003,1.7000000000000002
